2026-07-03 16:23:48,751 [MCP] INFO Config loaded — vault: C:\Users\user\AppData\Local\hermes\obsidian | skills: C:\Users\user\AppData\Local\hermes\skills | risk: 1.0% | dd_halt: 3.0% | instrument: XAUUSD | mtf: ['M5', 'M15', 'H1', 'H4', 'D1']
2026-07-05 09:11:43,681 [MCP] INFO Config loaded — vault: C:\Users\user\AppData\Local\hermes\obsidian | skills: C:\Users\user\AppData\Local\hermes\skills | risk: 1.0% | dd_halt: 3.0% | instrument: XAUUSD | mtf: ['M5', 'M15', 'H1', 'H4', 'D1']
2026-07-05 09:32:06,826 [MCP] INFO Config loaded — vault: C:\Users\user\AppData\Local\hermes\obsidian | skills: C:\Users\user\AppData\Local\hermes\skills | risk: 1.0% | dd_halt: 3.0% | instrument: XAUUSD | mtf: ['M5', 'M15', 'H1', 'H4', 'D1']
2026-07-05 09:35:08,360 [MCP] INFO Config loaded — vault: C:\Users\user\AppData\Local\hermes\obsidian | skills: C:\Users\user\AppData\Local\hermes\skills | risk: 1.0% | dd_halt: 3.0% | instrument: XAUUSD | mtf: ['M5', 'M15', 'H1', 'H4', 'D1']
2026-07-05 09:38:31,620 [MCP] INFO Config loaded — vault: C:\Users\user\AppData\Local\hermes\obsidian | skills: C:\Users\user\AppData\Local\hermes\skills | risk: 1.0% | dd_halt: 3.0% | instrument: XAUUSD | mtf: ['M5', 'M15', 'H1', 'H4', 'D1']
2026-07-05 10:00:32,424 [MCP] INFO Config loaded — vault: C:\Users\user\AppData\Local\hermes\obsidian | skills: C:\Users\user\AppData\Local\hermes\skills | risk: 1.0% | dd_halt: 3.0% | instrument: XAUUSD | mtf: ['M5', 'M15', 'H1', 'H4', 'D1']
2026-07-05 10:09:04,241 [MCP] INFO Config loaded — vault: C:\Users\user\AppData\Local\hermes\obsidian | skills: C:\Users\user\AppData\Local\hermes\skills | risk: 1.0% | dd_halt: 3.0% | instrument: XAUUSD | mtf: ['M5', 'M15', 'H1', 'H4', 'D1']
2026-07-05 10:16:04,626 [MCP] INFO Config loaded — vault: C:\Users\user\AppData\Local\hermes\obsidian | skills: C:\Users\user\AppData\Local\hermes\skills | risk: 1.0% | dd_halt: 3.0% | instrument: XAUUSD | mtf: ['M5', 'M15', 'H1', 'H4', 'D1']
2026-07-05 10:18:33,662 [MCP] INFO Config loaded — vault: C:\Users\user\AppData\Local\hermes\obsidian | skills: C:\Users\user\AppData\Local\hermes\skills | risk: 1.0% | dd_halt: 3.0% | instrument: XAUUSD | mtf: ['M5', 'M15', 'H1', 'H4', 'D1']
2026-07-05 10:38:59,261 [MCP] INFO Config loaded — vault: C:\Users\user\AppData\Local\hermes\obsidian | skills: C:\Users\user\AppData\Local\hermes\skills | risk: 1.0% | dd_halt: 3.0% | instrument: XAUUSD | mtf: ['M5', 'M15', 'H1', 'H4', 'D1']
2026-07-05 11:46:32,611 [MCP] INFO Config loaded — vault: C:\Users\user\AppData\Local\hermes\obsidian | skills: C:\Users\user\AppData\Local\hermes\skills | risk: 1.0% | dd_halt: 3.0% | instrument: XAUUSD | mtf: ['M5', 'M15', 'H1', 'H4', 'D1']
2026-07-05 11:47:20,366 [MCP] INFO Config loaded — vault: C:\Users\user\AppData\Local\hermes\obsidian | skills: C:\Users\user\AppData\Local\hermes\skills | risk: 1.0% | dd_halt: 3.0% | instrument: XAUUSD | mtf: ['M5', 'M15', 'H1', 'H4', 'D1']
2026-07-05 13:29:29,867 [MCP] INFO Config loaded — vault: C:\Users\user\AppData\Local\hermes\obsidian | skills: C:\Users\user\AppData\Local\hermes\skills | risk: 1.0% | dd_halt: 3.0% | instrument: XAUUSD | mtf: ['M5', 'M15', 'H1', 'H4', 'D1']
2026-07-05 15:01:22,937 [MCP] INFO Config loaded — vault: C:\Users\user\AppData\Local\hermes\obsidian | skills: C:\Users\user\AppData\Local\hermes\skills | risk: 1.0% | dd_halt: 3.0% | instrument: XAUUSD | mtf: ['M5', 'M15', 'H1', 'H4', 'D1']
2026-07-05 16:53:34,658 [MCP] INFO Config loaded — vault: C:\Users\user\AppData\Local\hermes\obsidian | skills: C:\Users\user\AppData\Local\hermes\skills | risk: 1.0% | dd_halt: 3.0% | instrument: XAUUSD | mtf: ['M5', 'M15', 'H1', 'H4', 'D1']
2026-07-05 16:54:16,533 [MCP] INFO Config loaded — vault: C:\Users\user\AppData\Local\hermes\obsidian | skills: C:\Users\user\AppData\Local\hermes\skills | risk: 1.0% | dd_halt: 3.0% | instrument: XAUUSD | mtf: ['M5', 'M15', 'H1', 'H4', 'D1']
2026-07-05 17:35:03,337 [MCP] INFO Config loaded — vault: C:\Users\user\AppData\Local\hermes\obsidian | skills: C:\Users\user\AppData\Local\hermes\skills | risk: 1.0% | dd_halt: 3.0% | instrument: XAUUSD | mtf: ['M5', 'M15', 'H1', 'H4', 'D1']
2026-07-05 17:53:24,501 [MCP] INFO Config loaded — vault: C:\Users\user\AppData\Local\hermes\obsidian | skills: C:\Users\user\AppData\Local\hermes\skills | risk: 1.0% | dd_halt: 3.0% | instrument: XAUUSD | mtf: ['M5', 'M15', 'H1', 'H4', 'D1']
